ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
73,PC,PC Progress Incomplete,,Let's cut to the chase. See these signs?,Venons-en au fait. Vous voyez ces signaux ?,Kommen wir zum Punkt. Siehst du diese Zeichen?,Vamos al grano. ¿Ves estos signos?,Vamos ao que interessa. Está vendo estes sinais?,"Ладно, сразу к делу. Видишь этот знак?",要点だけ言うわね。このマークが見えるかしら？,본론으로 들어가죠. 이 신호들이 보이시나요?,我们直入正题吧。看到这些标志没？,我們長話短說吧。看見這些標誌沒有？,咱们长话短说吧。看见这些标志没有？
74,Gary,PC Progress Incomplete,,"No need to condescend, PC. Yes I see them.","Bien sûr que je les vois, je ne suis pas aveugle.","Du musst ja nicht gleich herablassend werden, Computer. Ja, ich sehe sie.","No hace falta que seas condescendiente, PC. Sí, los veo.","Não precisa ser condescendente, PC. Claro que estou vendo.","А можно еще более снисходительным тоном? Да, вижу.",バカにするな、PC。ああ、見えるとも。,"잘난 척하지 마, PC. 잘 보여.",你也别摆架子，电脑。我能看见它们。,用不著這麼趾高氣昂，電腦。我有眼睛。,用不着这么趾高气昂，电脑。我长眼睛了。
75,PC,PC Progress Incomplete,,"Very good, human. Well, this sign means 'broken'.",C'est très bien ! Ce symbole signifie qu'il y a une panne.,"Sehr gut, Mensch. Also, dieses Zeichen bedeutet 'kaputt'.","Muy bien, humano. Pues este signo significa «averiado».","Muito bem, humano. Bem, este sinal significa ""quebrado"".","Отлично, человек. Этот знак означает поломку.",それはよかったわ、人間。でね、この マークは「故障中」って意味なの。,"아주 잘했어요, 인간. 음, 이 표시는 '고장' 난 상태라는 걸 의미해요.",很好，人类。这标志的意思是“已损坏”。,"很好，人類。這個標誌意思是""已損壞""。","很好，人类。这个标志意思是""已损坏""。"
76,PC,PC Progress Incomplete,,You want to turn them all into check marks.,Vous allez devoir les réparer...,Du musst sie alle in Häkchen verwandeln.,Tienes que convertirlos todos en marcas de verificación.,Você precisa transformar todos eles em sinais de visto.,Вместо него должна быть галочка.,だから3つとも、チェックマークに 変えないといけない。,이것들을 전부 체크 표시로 만들어야 하죠.,你得把它们都转成勾号才行。,你得把它們都變成勾勾才行。,你得把它们都变成对勾才行。
77,PC,PC Progress Incomplete,,"Like this. This is a check mark, human.",Pour obtenir ce symbole. Ce symbole signifie que la réparation a été effectuée.,"So. Das ist ein Häkchen, Mensch.","Así. Esto es una marca de verificación, humano.","Tipo assim. Isto é um sinal de visto, humano.","Примерно такая. Смотри, человек, это - галочка.",こんなふうにね。これがチェック マークよ、人間。,"이런 식으로요. 이게 체크 표시입니다, 인간.",就像这样。这就是勾号，人类。,就這樣。勾勾長這樣，人類。,就这样。对勾长这样，人类。
78,PC,PC Progress Incomplete,,Here is your progress so far. Ahem.,"Ça, c'est votre progression actuelle. Hmm.",Hier ist dein bisheriger Fortschritt. Ähem.,Estos son tus progresos hasta el momento. Ejem.,Este é o seu progresso até o momento. *Cof cof*,Вот твой текущий прогресс. Кгхм.,現在の状況を言うわね。コホン。,당신의 진행 상황입니다. 에헴.,这是你目前的进度。嗯哼。,這裡是你目前的進度。咳咳。,这里是你目前的进度。咳咳。
79,PC,PC Progress Incomplete,,Looks like you cleared the flooded Aqueduct. Nice.,Il semblerait que vous ayez réparé les canalisations. C'est bien.,Offenbar hast du das geflutete Aquädukt entleert. Gut.,Parece que has despejado el acueducto inundado. Muy bien.,Parece que você drenou o Aqueduto inundado. Ok.,Вода из Акведука откачана. Славно.,アクアダクトの水漏れは直した みたいね。やるじゃない。,물에 잠긴 송수로를 정리한 모양이네요. 잘했어요.,看来你已经清掉输水区的水了。干得不错。,看起來你搞定了被水淹沒的大溝渠。不錯。,看起来你搞定了被水淹没的大渡槽。不错。
80,PC,PC Progress Incomplete,,Excessive flooding in the Aqueduct. Not good.,Fuite importante dans les canalisations. C'est inquiétant.,Übermäßige Überflutung im Aquädukt. Nicht gut.,Exceso de agua en el acueducto. Mal asunto.,Excesso de água no Aqueduto. Isso não é nada bom.,Акведук затоплен. Не славно.,アクアダクトが水浸しになってる。 まずいわ。,송수로에 물이 과하게 잠겨 있어요. 좋지 않아요.,输水区存在大量的水。情况不是很妙。,大溝渠區域有洪水。不妙。,大渡槽区域存在大量洪水。不妙。
81,PC,PC Progress Incomplete,,Heater Core has been cooled off. Right on.,Le module de chauffage a été refroidi. C'est très bien.,Der Wärmetauscher wurde abgekühlt. So ist es gut.,El núcleo calefactor se ha enfriado. Así se hace.,O Núcleo de Calefação foi resfriado. Boa.,Нагревательное ядро охлаждено. Отлично.,加熱炉は冷却されたわ。いいかんじ。,히터 코어가 냉각 상태네요. 잘했어요.,热核区已经冷却下来了。干得漂亮。,加熱核心已經被冷卻掉了。很好。,加热核心已经被冷却掉了。挺好。
82,PC,PC Progress Incomplete,,Heater Core is still affected by severe overheating.,Le module de chauffage présente toujours des signes de surchauffe.,Der Wärmetauscher ist immer noch stark überhitzt.,El núcleo calefactor sigue sufriendo un grave sobrecalentamiento.,O Núcleo de Calefação ainda está seriamente superaquecido.,Нагревательное ядро все еще перегревается.,加熱炉は今も絶賛オーバーヒート中よ。,히터 코어가 심각하게 과열된 상태예요.,热核区仍有严重过热的危险。,加熱核心仍有嚴重過熱危險。,加热核心仍有严重过热危险。
83,PC,PC Progress Incomplete,,Ventilation System is all cleared. Impressive.,Système de ventilation dégagé. Impressionnant.,Das Lüftungssystem ist frei. Beeindruckend.,El sistema de ventilación está totalmente despejado. Impresionante.,O Sistema de Ventilação foi desentupido. Impressionante.,Вентиляция очищена. Впечатляюще.,換気システムの詰まりは解消された。 たいしたものね。,통풍 시스템이 모두 정리됐네요. 아주 잘했어요.,通气系统已全部清理完毕。有两下子。,通風系統已經清理好了。有兩下子。,通风系统已经清理好了。有两下子。
84,PC,PC Progress Incomplete,,Ventilation System is all clogged up. Nasty stuff.,Le système de ventilation est toujours bouché. Ce n'est pas bon.,Das Lüftungssystem ist komplett verstopft. Eine eklige Angelegenheit.,El sistema de ventilación está congestionado. Muy desagradable.,O Sistema de Ventilação ainda está entupido. Que nojo.,Вентиляция полностью заблокирована. Фу.,換気システムが塞がっちゃってる。 厄介だわ。,통풍 시스템이 모두 막혔어요. 불쾌하군요.,通风系统全被堵住了。真是棘手。,通風系統全堵住了。蠻棘手的。,通风系统全堵住了。挺棘手的。
85,PC,PC Progress Incomplete,,I can only grant Lab access if all malfunctions are repaired.,Vous ne pouvez pas entrer dans le laboratoire tant que tout n'est pas réparé.,"Zugang zum Labor kann ich nur gewähren, wenn alle Fehlfunktionen behoben wurden.",Solo puedo conceder acceso al laboratorio si se reparan todas las averías.,Só posso conceder acesso ao Laboratório se todos os problemas forem sanados.,"Я смогу открыть двери в лабораторию только тогда, когда поломки будут устранены.",すべての異常が修理されるまで、 ラボへ通すわけにはいかないの。,모든 오작동이 수리돼야 실험실 출입을 허가해줄 수 있어요.,只有修好全部故障后我才能让你进实验室。,只有等全部故障都被修好，我才能授權你進入實驗室。,只有所有故障都被修好，我才能授权你进入实验室。
86,Gary,PC Progress Incomplete,,"What a contemptible machine. Let's go, kitty.","Saleté de machine. Allez, minette.","Was für eine verachtenswerte Maschine. Auf gehts, Kätzchen.","Qué máquina tan despreciable. Vamos, gatita.","Que máquina metida à besta. Vamos lá, bichana.","Вот же гадина. Пойдем, котейка.",いちいち鼻につくコンピュータめ。 いくぞ、ネコちゃん。,"이거 참 경멸스러운 기계네. 가자, 나비야.",真是个烂机器。我们走吧，小猫咪。,真是個卑鄙無恥的機器。走吧，小貓咪。,真是个卑鄙无耻的机器。走吧，小猫咪。
87,Gary,PC Progress Update,,"Computer, let's have an update.","Ordinateur, on peut avoir un état des lieux ?","Computer, ein Update bitte.","A ver, computadora, actualicemos.","Computador, me dê uma atualização.","Компьютер, обновление ситуации.",コンピュータよ、更新を頼もう。,"컴퓨터, 업데이트를 부탁해.",电脑，帮我更新下进度。,電腦，幫我更新一下進展。,电脑，给我更新一下进展。
88,PC,PC Progress Update,,"Here is your progress so far, Human.",Voici votre progression actuelle.,"Hier ist dein bisheriger Fortschritt, Mensch.","Estos son tus progresos hasta el momento, humano.","Este é o seu progresso até o momento, humano.",Вот твой текущий прогресс.,今のところはこうよ、人間。,"당신의 진행 상황입니다, 인간.",这就是你目前的进度，人类。,這是你目前的進度，人類。,这是你目前的进度，人类。
89,PC,PC Progress Update,,"You've got a lot left to do, Human. Although...",Vous avez encore beaucoup à faire. Enfin...,"Du hast noch eine Menge zu tun, Mensch. Wobei ...","Te queda mucho por hacer, humano. Aunque...","Você ainda tem muito o que fazer, humano. No entanto...","Дел еще целая куча, человек. Кроме того...",まだまだ先は長いわ、人間。 っていうか...,"당신은 지금 할 일이 많아요, 인간. 하지만...",你还有不少事要做，人类。虽然……,還剩不少事情要做呢，人類。雖然...,还剩不少事儿要做呢，人类。虽然...
90,PC,PC Progress Update,,It seems like the feline is doing all the work.,J'ai l'impression que c'est la chatte qui fait tout.,"Es scheint, als würde die Katze die ganze Arbeit erledigen.",Parece que el felino está haciendo todo el trabajo.,Parece que o felino está fazendo todo o trabalho.,"У меня создалось ощущение, что делает их кошка.",実際はそのネコがやっているのよね。,그 고양이가 할 일을 잘 하고 있는 거 같군요.,看上去所有活都是那只猫科动物在做。,看上去所有事都是這貓科動物在動手。,看上去所有活都是这猫科动物在动手。
91,Gary,PC Progress Update,,"Thank you for the update. Let's go, kitty.","Merci pour l'info. Allez, minette.","Danke für das Update. Auf gehts, Kätzchen.","Gracias por la actualización. Vamos, gatita.","Obrigado pela atualização. Vamos lá, bichana.","Спасибо за обновление. Пойдем, котейка.",報告をどうも。いくぞ、ネコちゃん。,"업데이트 고마워. 가자, 나비야.",感谢你的更新。我们走吧，小猫咪。,謝謝你的更新。走吧，小貓咪。,谢谢你的更新。走吧，小猫咪。
92,Gary,PC Decoder Quest Begin,,"Hey, PC. Guess what?","Hé l'ordi, devine quoi ?","Hey, Computer. Rate mal!","Oye, PC. ¿Sabes qué?","Ei, PC. Adivinha só?","Эй, комп. Знаешь что?",やあ、PC。おどろくぞ？,"야, PC. 내가 왜 불렀게?",嘿，电脑。你猜现在怎么着？,嘿，電腦。你猜猜？,嘿，电脑。你猜怎么着？
93,PC,PC Decoder Quest Begin,,"One moment, human...",Un instant...,"Einen Moment, Mensch ...","Un momento, humano...","Espere um minuto, humano...",Секунду.,ちょっと待って、人間...,"일 분만 기다려 보세요, 인간...",稍等片刻，人类……,等等嘛，人類...,稍等片刻，人类...
94,PC,PC Decoder Quest Begin,,CALIBRATING GUESSING ALGORITHM...,CALIBRATION DE L'ALGORITHME DE DIVINATION...,RATEALGORITHMUS WIRD KALIBRIERT ...,CALIBRANDO ALGORITMO DE ADIVINACIÓN...,CALIBRANDO ALGORITMO DE ADIVINHAÇÃO...,ЗАПУСК УГАДЫВАТЕЛЬНОГО АЛГОРИТМА...,推測アルゴリズムを調整中...,부른 이유 추정 알고리즘 계산 중...,正在校准猜测算法……,正在校準猜測演算法...,正在校准猜测算法...
95,Gary,PC Decoder Quest Begin,,What?,Quoi ?,Was?,¿Qué?,Ahn?,Что?,はあ？,뭐?,什么鬼？,什麼？,什么？
96,PC,PC Decoder Quest Begin,,Correct.,Correct.,Korrekt.,Correcto.,Correto.,Именно.,正解よ。,알겠어요.,算法正确。,猜對了。,猜对了。
97,PC,PC Decoder Quest Begin,,"Here is your progress update, sir.",Voici votre progression actuelle.,Hier ist das Update zu deinem Fortschritt.,Esta es la actualización de tus progresos.,Aqui está seu progresso atualizado.,Текущий прогресс обновлен.,現在の状況を教えるわ、人間サマ。,"진행 상황 업데이트입니다, 인간.",这是你目前的进度，长官。,這裡是你目前的進度，長官。,这里是你目前的进度，长官。
98,PC,PC Decoder Quest Begin,,All hazards clear!,Toutes les pannes ont été réparées !,Alle Gefahren beseitigt!,¡Todos los peligros eliminados!,Todos os perigos foram eliminados!,Все проблемы устранены!,すべての危険が取り除かれました！,모든 위험 요소가 해결됐군요!,所有危险都被处理掉了！,所有毒物都被清除了！,所有毒物都被清除了！
99,Gary,PC Decoder Quest Begin,,Hoo-rah! Now we can finally check out the lab!,Hourra ! On va enfin pouvoir entrer dans le labo !,Hurra! Jetzt können wir uns endlich das Labor ansehen!,¡Hurra! ¡Por fin podremos echar un vistazo al laboratorio!,Oba! Agora finalmente vamos poder entrar no laboratório!,Ура! Наконец-то мы можем попасть в лабораторию.,やったぞ！これでようやくラボへ 向かえる！,좋아! 이제 드디어 실험실을 확인해볼 수 있겠어!,呼~啦！我们终于能进实验室里看看了！,好耶！！終於可以進實驗室看看了！,好耶！！终于可以进实验室看看了！
